Sector,Hazard,affected predictor / indicator categories,Policy case study across Europe only,Country / city,Twin-transition mitigation measure,Policy implementation summary,Evidence of success / why credible,Reference links
Transport,CAR LOSES RESALE VALUE,Ev likelihood,France — EV social leasing and ecological bonus/malus support,France,Twin-transition clean-mobility measure: subsidised EV leasing and incentives help eligible households shift from internal-combustion vehicles to lower-emission vehicles.,"For the profile ""Ev likelihood"", the measure addresses ICE running-cost and resale-risk exposure by making electric mobility more affordable.",Official French social leasing policy and European Alternative Fuels Observatory documentation show targeted low-cost access to electric cars for modest-income households.,https://www.service-public.gouv.fr/particuliers/actualites/A16990?lang=en; https://alternative-fuels-observatory.ec.europa.eu/general-information/news/france-launches-2025-round-social-leasing-electric-cars
Transport,CAR LOSES RESALE VALUE,Activity status: Unemployed,France — EV social leasing and ecological bonus/malus support,France,Twin-transition clean-mobility measure: subsidised EV leasing and incentives help eligible households shift from internal-combustion vehicles to lower-emission vehicles.,"For the profile ""Activity status: Unemployed"", the measure addresses ICE running-cost and resale-risk exposure by making electric mobility more affordable.",Official French social leasing policy and European Alternative Fuels Observatory documentation show targeted low-cost access to electric cars for modest-income households.,https://www.service-public.gouv.fr/particuliers/actualites/A16990?lang=en; https://alternative-fuels-observatory.ec.europa.eu/general-information/news/france-launches-2025-round-social-leasing-electric-cars
Transport,CAR LOSES RESALE VALUE,Higher Household size,France — EV social leasing and ecological bonus/malus support,France,Twin-transition clean-mobility measure: subsidised EV leasing and incentives help eligible households shift from internal-combustion vehicles to lower-emission vehicles.,"For the profile ""Higher Household size"", the measure addresses ICE running-cost and resale-risk exposure by making electric mobility more affordable.",Official French social leasing policy and European Alternative Fuels Observatory documentation show targeted low-cost access to electric cars for modest-income households.,https://www.service-public.gouv.fr/particuliers/actualites/A16990?lang=en; https://alternative-fuels-observatory.ec.europa.eu/general-information/news/france-launches-2025-round-social-leasing-electric-cars
Transport,LONGER OR MORE COMPLEX JOURNEYS,Travel frequency: Never I mostly work from home,Germany — Deutschlandticket integrated public transport pass,Germany,Twin-transition mobility measure: a simple nationwide digital/monthly public transport ticket reduces fare complexity and supports modal shift from cars to public transport.,"For the profile ""Travel frequency: Never I mostly work from home"", the measure simplifies local and regional travel and reduces the burden of fragmented fares or route choices.",Evaluation evidence reports improved mobility/social participation and substitution of some car trips with public transport.,https://int.bahn.de/en/offers/regional/deutschland-ticket; https://www.cleanenergywire.org/news/germanys-flat-rate-transport-ticket-working-mobility-and-climate-govt-evaluation; https://link.springer.com/article/10.1007/s11116-025-10640-7
Transport,LONGER OR MORE COMPLEX JOURNEYS,Speaks national language: No,Germany — Deutschlandticket integrated public transport pass,Germany,Twin-transition mobility measure: a simple nationwide digital/monthly public transport ticket reduces fare complexity and supports modal shift from cars to public transport.,"For the profile ""Speaks national language: No"", the measure simplifies local and regional travel and reduces the burden of fragmented fares or route choices.",Evaluation evidence reports improved mobility/social participation and substitution of some car trips with public transport.,https://int.bahn.de/en/offers/regional/deutschland-ticket; https://www.cleanenergywire.org/news/germanys-flat-rate-transport-ticket-working-mobility-and-climate-govt-evaluation; https://link.springer.com/article/10.1007/s11116-025-10640-7
Energy,HEATING AND COOLING COSTS INCREASE,"Utility arrears: Yes,  twice or more",EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Utility arrears: Yes,  twice or more"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,HEATING AND COOLING COSTS INCREASE,Religious minority: Yes,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Religious minority: Yes"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,HEATING AND COOLING COSTS INCREASE,Higher Home problems count,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Higher Home problems count"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,HEATING AND COOLING COSTS INCREASE,Countries with higher Electricity consumption,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Countries with higher Electricity consumption"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,HIGHER ELECTRICITY BILLS,Political group: Yes,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Political group: Yes"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,HIGHER ELECTRICITY BILLS,Countries with higher Electricity consumption,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Countries with higher Electricity consumption"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,MISSING OUT ON SOLAR SAVINGS,Solar install likelihood,France — MaPrimeRénov’ and EU Social Climate Fund support for clean-energy home upgrades,France / EU,"Twin-transition prosumer-access measure: income-based support for home energy renovation and renewable-energy improvements, reducing upfront barriers to solar or low-carbon upgrades.","For the profile ""Solar install likelihood"", the measure helps households that may otherwise miss savings from solar, efficient heating and digital/energy-ready building upgrades.",IEA and official French sources document MaPrimeRénov’; the EU Social Climate Fund targets vulnerable groups affected by the building and transport transition.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,MISSING OUT ON SOLAR SAVINGS,Dwelling year,France — MaPrimeRénov’ and EU Social Climate Fund support for clean-energy home upgrades,France / EU,"Twin-transition prosumer-access measure: income-based support for home energy renovation and renewable-energy improvements, reducing upfront barriers to solar or low-carbon upgrades.","For the profile ""Dwelling year"", the measure helps households that may otherwise miss savings from solar, efficient heating and digital/energy-ready building upgrades.",IEA and official French sources document MaPrimeRénov’; the EU Social Climate Fund targets vulnerable groups affected by the building and transport transition.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,MISSING OUT ON SOLAR SAVINGS,Political group: Yes,France — MaPrimeRénov’ and EU Social Climate Fund support for clean-energy home upgrades,France / EU,"Twin-transition prosumer-access measure: income-based support for home energy renovation and renewable-energy improvements, reducing upfront barriers to solar or low-carbon upgrades.","For the profile ""Political group: Yes"", the measure helps households that may otherwise miss savings from solar, efficient heating and digital/energy-ready building upgrades.",IEA and official French sources document MaPrimeRénov’; the EU Social Climate Fund targets vulnerable groups affected by the building and transport transition.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,MISSING OUT ON SOLAR SAVINGS,Home type: Semi-detached house,France — MaPrimeRénov’ and EU Social Climate Fund support for clean-energy home upgrades,France / EU,"Twin-transition prosumer-access measure: income-based support for home energy renovation and renewable-energy improvements, reducing upfront barriers to solar or low-carbon upgrades.","For the profile ""Home type: Semi-detached house"", the measure helps households that may otherwise miss savings from solar, efficient heating and digital/energy-ready building upgrades.",IEA and official French sources document MaPrimeRénov’; the EU Social Climate Fund targets vulnerable groups affected by the building and transport transition.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,MISSING OUT ON SOLAR SAVINGS,English proficiency: Well,France — MaPrimeRénov’ and EU Social Climate Fund support for clean-energy home upgrades,France / EU,"Twin-transition prosumer-access measure: income-based support for home energy renovation and renewable-energy improvements, reducing upfront barriers to solar or low-carbon upgrades.","For the profile ""English proficiency: Well"", the measure helps households that may otherwise miss savings from solar, efficient heating and digital/energy-ready building upgrades.",IEA and official French sources document MaPrimeRénov’; the EU Social Climate Fund targets vulnerable groups affected by the building and transport transition.,https://www.service-public.gouv.fr/particuliers/vosdroits/F35083?lang=en; https://www.iea.org/policies/17749-frances-maprimerenov-programme; https://iea.blob.core.windows.net/assets/cc642c97-ba07-4dfc-a81e-c11ebda0b64c/16-France-MaPrimeRenov_CaseStudies_Final.pdf; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Utility arrears,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Utility arrears"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Dwelling year: 1961-1980,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Dwelling year: 1961-1980"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Bill confidence: Not very confident - I often need help/support,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Bill confidence: Not very confident - I often need help/support"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Household type: Multi-generational / extended,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Household type: Multi-generational / extended"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Can cover solar cost,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Can cover solar cost"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Energy improvements: I don't know,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Energy improvements: I don't know"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Aware gov programmes: No,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Aware gov programmes: No"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Home type: Detached house,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Home type: Detached house"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Housing situation: Owns outright - no mortgage,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Housing situation: Owns outright - no mortgage"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Disability: Yes,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Disability: Yes"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Higher Income band,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Higher Income band"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,STRUGGLING TO PAY BILLS EACH MONTH,Higher Age,EU Social Climate Fund plus national energy-consumer protection measures,EU / Member States,"Twin-transition affordability measure: targeted support for vulnerable households, building upgrades, clean heating, energy advice and consumer protection as carbon pricing and electrification progress.","For the profile ""Higher Age"", the measure addresses affordability risk while steering support toward long-term energy efficiency and clean-energy adoption.",EU Social Climate Fund is designed to support vulnerable households and transport users; CEER and Bruegel document European consumer-protection responses during energy-price shocks.,https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en; https://www.ceer.eu/publication/beyond-the-crisis-consumer-protection-and-market-measures-for-better-functioning-markets/; https://www.ceer.eu/wp-content/uploads/2024/09/Beyond-the-Crisis_Consumer-Protection-and-Market-Measures-for-Better-Functioning-Markets-.pdf; https://www.bruegel.org/dataset/national-policies-shield-consumers-rising-energy-prices
Energy,NEW TAXES OR FINES FOR INEFFICIENCY,Utility arrears,"EU EPBD Renovation Wave, Social Climate Fund and national renovation grants",EU / Member States,"Twin-transition compliance-support measure: combine minimum energy-performance direction, renovation grants, advice and digital building-readiness tools so inefficient homes can upgrade before penalties bite.","For the profile ""Utility arrears"", the measure reduces exposure to inefficiency-related taxes, fines or compliance costs by funding transition upgrades.",EU EPBD/Renovation Wave sets the buildings transition framework; the Social Climate Fund supports vulnerable households facing costs from climate-neutrality measures.,https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
Energy,NEW TAXES OR FINES FOR INEFFICIENCY,Ethnic minority: Yes,"EU EPBD Renovation Wave, Social Climate Fund and national renovation grants",EU / Member States,"Twin-transition compliance-support measure: combine minimum energy-performance direction, renovation grants, advice and digital building-readiness tools so inefficient homes can upgrade before penalties bite.","For the profile ""Ethnic minority: Yes"", the measure reduces exposure to inefficiency-related taxes, fines or compliance costs by funding transition upgrades.",EU EPBD/Renovation Wave sets the buildings transition framework; the Social Climate Fund supports vulnerable households facing costs from climate-neutrality measures.,https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/energy-performance-buildings-directive_en; https://energy.ec.europa.eu/topics/energy-efficiency/energy-performance-buildings/smart-readiness-indicator_en; https://employment-social-affairs.ec.europa.eu/policies-and-activities/funding/social-climate-fund_en; https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/social-climate-fund_en
